PRODUCT_CODE,PRODUCT_TYPE_NAME,DEPARTMENT_ID,DEPARTMENT_NAME,INDEX_GROUP_NAME,SECTION_NAME,article
526432,Pillow case,504,Sheets and pillowcases,Home,Sleep,526432001
381038,Bed skirt,508,Bedspreads/bedskirts,Home,Sleep,381038009
418545,T-shirt,176,Basics,Menswear,Men Underwear,418545028
467302,Storage,521,Textile kids,Home,Kids,467302028
452516,Socks,137,Socks,Ladieswear,"Women Nightwear, Socks & Tight",452516001
251280,Towel,520,Basic towels,Home,Bath,251280004
548557,Swimwear top,159,Swimwear,Ladieswear,"Women Swimwear, Functional & M",548557015
548557,Swimwear top,159,Swimwear,Ladieswear,"Women Swimwear, Functional & M",548557024
555097,Bag,148,Items,Divided,Divided Shoes & Accessories,555097070
494229,Cushion cover,502,Basic cushion covers,Home,Live,494229003
501568,Sunglasses,268,Sunglasses,Ladieswear,Ladies: Small accessories,501568005
495632,Other top,98,Jersey Basic,Ladieswear,Everyday Basics,495632025
411973,Trousers,93,Basic 1,Divided,Divided Basics,411973013
459669,Trousers,110,Woven bottoms,Ladieswear,H&M+,459669003
515730,Other top,98,Jersey Basic,Ladieswear,Everyday Basics,515730012
503206,Swimwear top,159,Swimwear,Ladieswear,"Women Swimwear, Functional & M",503206014
503372,Leggings,932,Jersey,Divided,Grey Girl,503372033
499556,Blazer,305,Blazer,Menswear,H&M Man,499556009
518608,Candles,536,Coast HD live inactive from S.6,Home,Eat,518608001
389971,Bed linen,505,Basic duvet covers,Home,Sleep,389971001
453850,Bed linen,505,Basic duvet covers,Home,Sleep,453850001
537700,Towel,521,Textile kids,Home,Kids,537700005
467886,Bed linen,505,Basic duvet covers,Home,Sleep,467886020
513745,Trousers,99,Trouser,Ladieswear,Everyday Collection,513745007
286822,Swimwear bottom,159,Swimwear,Ladieswear,"Women Swimwear, Functional & M",286822025
286822,Swimwear bottom,159,Swimwear,Ladieswear,"Women Swimwear, Functional & M",286822032
364873,Swimwear top,159,Swimwear,Ladieswear,"Women Swimwear, Functional & M",364873005
441421,Cushion cover,502,Basic cushion covers,Home,Live,441421022
443554,Swimwear bottom,159,Swimwear,Ladieswear,"Women Swimwear, Functional & M",443554010
492595,Fine cosmetics,47,Eyes,Cosmetic,H&M Beauty,492595001
492892,Fine cosmetics,47,Eyes,Cosmetic,H&M Beauty,492892008
492892,Fine cosmetics,47,Eyes,Cosmetic,H&M Beauty,492892010
369796,Fine cosmetics,49,Lips,Cosmetic,H&M Beauty,369796002
496848,Fine cosmetics,49,Lips,Cosmetic,H&M Beauty,496848013
478125,Cosmetic accessories,55,Tools,Cosmetic,H&M Beauty,478125006
572262,Cosmetic accessories,55,Tools,Cosmetic,H&M Beauty,572262001
553023,Chem. cosmetics,117,Body,Cosmetic,H&M Beauty,553023004
517860,Fine cosmetics,49,Lips,Cosmetic,H&M Beauty,517860012
509457,Fine cosmetics,46,Nails,Cosmetic,H&M Beauty,509457010
497184,Fine cosmetics,46,Nails,Cosmetic,H&M Beauty,497184012
305305,Fine cosmetics,46,Nails,Cosmetic,H&M Beauty,305305001
508463,Fine cosmetics,46,Nails,Cosmetic,H&M Beauty,508463007
527358,Fine cosmetics,49,Lips,Cosmetic,H&M Beauty,527358015
501915,Cardigan,7,Baby basics,Baby/Children,Baby Boy / Basics,501915012
534182,Earring,161,Jewellery,Ladieswear,Ladies: Small accessories,534182003
534182,Earring,161,Jewellery,Ladieswear,Ladies: Small accessories,534182010
465314,Trousers,109,Woven bottoms,Ladieswear,Mama,465314007
563447,Underwear bottom,315,UW,Divided,Divided Basics,563447002
472196,Trousers,330,Denim wall Core,Ladieswear,Ladies Denim,472196006
496242,Towel,520,Basic towels,Home,Bath,496242014
496242,Towel,520,Basic towels,Home,Bath,496242018
438070,Swimwear top,159,Swimwear,Ladieswear,"Women Swimwear, Functional & M",438070006
498750,Trousers,663,Jersey basic,Baby/Children,Boys Underwear & Basics,498750016
365439,Chem. cosmetics,117,Body,Cosmetic,H&M Beauty,365439001
530375,Rug,521,Textile kids,Home,Kids,530375004
489905,Trousers,332,Trousers,Divided,Divided Collection T&T,489905002
533802,Socks,137,Socks,Ladieswear,"Women Nightwear, Socks & Tight",533802008
477788,Bra,67,Lingerie Packs,Ladieswear,Women Lingerie,477788008
391691,Chem. cosmetics,55,Tools,Cosmetic,H&M Beauty,391691001
529030,Storage,521,Textile kids,Home,Kids,529030019
443102,Outdoor jacket,53,Outdoor/Blazers,Divided,Divided Collection DOTS,443102004
478109,Towel,516,Fancy towels,Home,Bath,478109001
445949,Underwear bottom,315,UW,Divided,Divided Basics,445949006
141645,Candles,538,Candles,Home,Live,141645006
453853,Belt,216,Belts,Menswear,Men Accessories,453853001
462720,Bra,70,Lingerie Programs Push,Ladieswear,Women Lingerie,462720004
499249,Candles,538,Candles,Home,Live,499249003
497358,Robe,541,Homewear,Home,Sleep,497358001
547174,Other shoe,926,Shoes Core Flats,Ladieswear,Ladies Shoes,547174003
411013,Tank top,7,Baby basics,Baby/Children,Baby Boy / Basics,411013013
488056,Trousers,101,Trouser,Ladieswear,Ladies Modern Classic,488056012
529351,Swimwear bottom,159,Swimwear,Ladieswear,"Women Swimwear, Functional & M",529351001
354715,Swimwear bottom,159,Swimwear,Ladieswear,"Women Swimwear, Functional & M",354715009
525025,Swimwear top,159,Swimwear,Ladieswear,"Women Swimwear, Functional & M",525025003
448831,Swimwear bottom,159,Swimwear,Ladieswear,"Women Swimwear, Functional & M",448831002
515291,Skirt,65,Skirt,Ladieswear,Ladies Modern Classic,515291004
479974,Swimwear top,159,Swimwear,Ladieswear,"Women Swimwear, Functional & M",479974017
534305,Swimwear bottom,159,Swimwear,Ladieswear,"Women Swimwear, Functional & M",534305009
534305,Swimwear bottom,159,Swimwear,Ladieswear,"Women Swimwear, Functional & M",534305029
534305,Swimwear bottom,159,Swimwear,Ladieswear,"Women Swimwear, Functional & M",534305030
480853,T-shirt,737,Basics Small Girl,Baby/Children,Girls Underwear & Basics,480853042
477850,Bikini,159,Swimwear,Ladieswear,"Women Swimwear, Functional & M",477850004
524023,Trousers,99,Trouser,Ladieswear,Everyday Collection,524023018
