mweek,sum_of_purchases,sum_of_net_amount,sum_of_gross_amount,uplift1,date,variant,purchases,net_amount,gross_amount,article,product_code,day,wday,mday,yday,week,mday7,is_markdown,unitary_net_amount,unitary_gross_amount,discount,department_id,product_type_name_encoded,index_group_name_encoded,department_name_encoded,section_name_encoded
2,1538,24398.740623999995,47108.62,3.560185185185185,2017-10-09,506195003000,52,1788.7686959999996,2079.4799999999996,506195003,506195,9,2,9,282,41,2,1,34.39939799999999,39.989999999999995,13.980000000000004,130,51,3,96,45
2,1538,24398.740623999995,47108.62,3.560185185185185,2017-10-09,453239002000,6,127.763874,149.94,453239002,453239,9,2,9,282,41,2,1,21.293979,24.99,14.790000000000003,107,51,3,107,45
2,1538,24398.740623999995,47108.62,3.560185185185185,2017-10-09,495153003000,15,624.1001550000001,749.85,495153003,495153,9,2,9,282,41,2,1,41.606677000000005,49.99,16.769999999999996,107,51,3,107,45
2,1538,24398.740623999995,47108.62,3.560185185185185,2017-10-09,509485001000,5,57.82107499999998,99.94999999999996,509485001,509485,9,2,9,282,41,2,1,11.564214999999995,19.98999999999999,42.15,107,51,3,107,45
2,1538,24398.740623999995,47108.62,3.560185185185185,2017-10-09,464848002000,86,411.63074399999994,2579.1400000000003,464848002,464848,9,2,9,282,41,2,1,4.786403999999999,29.990000000000006,84.04,130,51,3,96,45
2,1538,24398.740623999995,47108.62,3.560185185185185,2017-10-09,555097070000,1,3.600576000000001,3.990000000000001,555097070,555097,9,2,9,282,41,2,1,3.600576000000001,3.990000000000001,9.760000000000002,148,51,5,18,16
2,1538,24398.740623999995,47108.62,3.560185185185185,2017-10-09,316242006000,2,61.9845,79.97999999999999,316242006,316242,9,2,9,282,41,2,1,30.99225,39.989999999999995,22.499999999999996,661,51,3,155,61
2,1538,24398.740623999995,47108.62,3.560185185185185,2017-10-09,465883009000,2,5.782128000000001,13.980000000000004,465883009,465883,9,2,9,282,41,2,1,2.8910640000000005,6.990000000000002,58.64,745,51,2,97,31
2,1538,24398.740623999995,47108.62,3.560185185185185,2017-10-09,430945001000,1,31.945869999999996,34.989999999999995,430945001,430945,9,2,9,282,41,2,1,31.945869999999996,34.989999999999995,8.699999999999996,130,51,3,96,45
2,1538,24398.740623999995,47108.62,3.560185185185185,2017-10-09,467109001000,8,69.67276799999996,239.91999999999987,467109001,467109,9,2,9,282,41,2,1,8.709095999999995,29.989999999999984,70.96000000000001,274,51,1,48,29
2,1538,24398.740623999995,47108.62,3.560185185185185,2017-10-10,495153003000,2,83.21335400000001,99.98,495153003,495153,10,3,10,283,41,2,1,41.606677000000005,49.99,16.769999999999996,107,51,3,107,45
2,1538,24398.740623999995,47108.62,3.560185185185185,2017-10-10,509485001000,26,300.66958999999986,519.7399999999998,509485001,509485,10,3,10,283,41,2,1,11.564214999999994,19.98999999999999,42.15,107,51,3,107,45
2,1538,24398.740623999995,47108.62,3.560185185185185,2017-10-10,506195003000,21,722.3873579999997,839.7899999999997,506195003,506195,10,3,10,283,41,2,1,34.399397999999984,39.98999999999999,13.980000000000004,130,51,3,96,45
2,1538,24398.740623999995,47108.62,3.560185185185185,2017-10-10,464848002000,95,454.70838,2849.0500000000006,464848002,464848,10,3,10,283,41,2,1,4.786404,29.990000000000006,84.04,130,51,3,96,45
2,1538,24398.740623999995,47108.62,3.560185185185185,2017-10-10,465883009000,5,14.455320000000002,34.95000000000001,465883009,465883,10,3,10,283,41,2,1,2.8910640000000005,6.990000000000002,58.64,745,51,2,97,31
2,1538,24398.740623999995,47108.62,3.560185185185185,2017-10-10,555097070000,1,3.600576000000001,3.990000000000001,555097070,555097,10,3,10,283,41,2,1,3.600576000000001,3.990000000000001,9.760000000000002,148,51,5,18,16
2,1538,24398.740623999995,47108.62,3.560185185185185,2017-10-10,467109001000,1,8.709095999999995,29.989999999999984,467109001,467109,10,3,10,283,41,2,1,8.709095999999995,29.989999999999984,70.96000000000001,274,51,1,48,29
2,1538,24398.740623999995,47108.62,3.560185185185185,2017-10-10,316242006000,1,30.99225,39.989999999999995,316242006,316242,10,3,10,283,41,2,1,30.99225,39.989999999999995,22.499999999999996,661,51,3,155,61
2,1538,24398.740623999995,47108.62,3.560185185185185,2017-10-10,430945001000,3,95.83760999999998,104.96999999999998,430945001,430945,10,3,10,283,41,2,1,31.945869999999996,34.989999999999995,8.699999999999996,130,51,3,96,45
2,1538,24398.740623999995,47108.62,3.560185185185185,2017-10-10,453239002000,129,2746.923291,3223.71,453239002,453239,10,3,10,283,41,2,1,21.293979,24.990000000000002,14.790000000000003,107,51,3,107,45
2,1538,24398.740623999995,47108.62,3.560185185185185,2017-10-11,430945001000,2,63.89173999999999,69.97999999999999,430945001,430945,11,4,11,284,41,2,1,31.945869999999996,34.989999999999995,8.699999999999996,130,51,3,96,45
2,1538,24398.740623999995,47108.62,3.560185185185185,2017-10-11,465883009000,5,14.455320000000002,34.95000000000001,465883009,465883,11,4,11,284,41,2,1,2.8910640000000005,6.990000000000002,58.64,745,51,2,97,31
2,1538,24398.740623999995,47108.62,3.560185185185185,2017-10-11,506195003000,21,722.3873579999997,839.7899999999997,506195003,506195,11,4,11,284,41,2,1,34.399397999999984,39.98999999999999,13.980000000000004,130,51,3,96,45
2,1538,24398.740623999995,47108.62,3.560185185185185,2017-10-11,464848002000,18,86.15527199999998,539.82,464848002,464848,11,4,11,284,41,2,1,4.786403999999999,29.990000000000002,84.04,130,51,3,96,45
2,1538,24398.740623999995,47108.62,3.560185185185185,2017-10-11,453239002000,60,1277.63874,1499.4,453239002,453239,11,4,11,284,41,2,1,21.293979,24.990000000000002,14.790000000000003,107,51,3,107,45
2,1538,24398.740623999995,47108.62,3.560185185185185,2017-10-11,495153003000,13,540.886801,649.87,495153003,495153,11,4,11,284,41,2,1,41.606677,49.99,16.770000000000007,107,51,3,107,45
2,1538,24398.740623999995,47108.62,3.560185185185185,2017-10-11,509485001000,7,80.94950499999997,139.92999999999995,509485001,509485,11,4,11,284,41,2,1,11.564214999999995,19.98999999999999,42.15,107,51,3,107,45
2,1538,24398.740623999995,47108.62,3.560185185185185,2017-10-12,509485001000,6,69.38528999999997,119.93999999999994,509485001,509485,12,5,12,285,41,2,1,11.564214999999995,19.98999999999999,42.15,107,51,3,107,45
2,1538,24398.740623999995,47108.62,3.560185185185185,2017-10-12,464848002000,141,674.882964,4228.590000000001,464848002,464848,12,5,12,285,41,2,1,4.786404,29.99000000000001,84.04,130,51,3,96,45
2,1538,24398.740623999995,47108.62,3.560185185185185,2017-10-12,465883009000,1,2.8910640000000005,6.990000000000002,465883009,465883,12,5,12,285,41,2,1,2.8910640000000005,6.990000000000002,58.64,745,51,2,97,31
2,1538,24398.740623999995,47108.62,3.560185185185185,2017-10-12,467109001000,4,34.83638399999998,119.95999999999994,467109001,467109,12,5,12,285,41,2,1,8.709095999999995,29.989999999999984,70.96000000000001,274,51,1,48,29
2,1538,24398.740623999995,47108.62,3.560185185185185,2017-10-12,506195003000,12,412.7927759999999,479.8799999999999,506195003,506195,12,5,12,285,41,2,1,34.39939799999999,39.98999999999999,13.980000000000004,130,51,3,96,45
2,1538,24398.740623999995,47108.62,3.560185185185185,2017-10-12,495153003000,12,499.280124,599.88,495153003,495153,12,5,12,285,41,2,1,41.606677,49.99,16.769999999999996,107,51,3,107,45
2,1538,24398.740623999995,47108.62,3.560185185185185,2017-10-12,316242006000,1,30.99225,39.989999999999995,316242006,316242,12,5,12,285,41,2,1,30.99225,39.989999999999995,22.499999999999996,661,51,3,155,61
2,1538,24398.740623999995,47108.62,3.560185185185185,2017-10-12,555097070000,1,3.600576000000001,3.990000000000001,555097070,555097,12,5,12,285,41,2,1,3.600576000000001,3.990000000000001,9.760000000000002,148,51,5,18,16
2,1538,24398.740623999995,47108.62,3.560185185185185,2017-10-12,453239002000,8,170.351832,199.92,453239002,453239,12,5,12,285,41,2,1,21.293979,24.99,14.789999999999992,107,51,3,107,45
2,1538,24398.740623999995,47108.62,3.560185185185185,2017-10-13,453239002000,15,319.409685,374.85,453239002,453239,13,6,13,286,41,2,1,21.293979,24.990000000000002,14.790000000000003,107,51,3,107,45
2,1538,24398.740623999995,47108.62,3.560185185185185,2017-10-13,506195003000,53,1823.1680939999992,2119.4699999999993,506195003,506195,13,6,13,286,41,2,1,34.399397999999984,39.98999999999999,13.980000000000015,130,51,3,96,45
2,1538,24398.740623999995,47108.62,3.560185185185185,2017-10-13,430945001000,14,447.2421799999999,489.8599999999999,430945001,430945,13,6,13,286,41,2,1,31.945869999999992,34.989999999999995,8.699999999999996,130,51,3,96,45
2,1538,24398.740623999995,47108.62,3.560185185185185,2017-10-13,464848002000,134,641.3781359999999,4018.6600000000008,464848002,464848,13,6,13,286,41,2,1,4.786403999999999,29.990000000000006,84.04,130,51,3,96,45
2,1538,24398.740623999995,47108.62,3.560185185185185,2017-10-13,509485001000,31,358.49066499999986,619.6899999999997,509485001,509485,13,6,13,286,41,2,1,11.564214999999995,19.98999999999999,42.15,107,51,3,107,45
2,1538,24398.740623999995,47108.62,3.560185185185185,2017-10-13,467109001000,9,78.38186399999995,269.90999999999985,467109001,467109,13,6,13,286,41,2,1,8.709095999999995,29.989999999999984,70.96000000000001,274,51,1,48,29
2,1538,24398.740623999995,47108.62,3.560185185185185,2017-10-14,453239002000,59,1256.344761,1474.41,453239002,453239,14,7,14,287,41,3,1,21.293979,24.990000000000002,14.790000000000003,107,51,3,107,45
2,1538,24398.740623999995,47108.62,3.560185185185185,2017-10-14,506195003000,60,2063.9638799999993,2399.399999999999,506195003,506195,14,7,14,287,41,3,1,34.39939799999999,39.98999999999999,13.980000000000004,130,51,3,96,45
2,1538,24398.740623999995,47108.62,3.560185185185185,2017-10-14,495153003000,3,124.820031,149.97,495153003,495153,14,7,14,287,41,3,1,41.606677,49.99,16.769999999999996,107,51,3,107,45
2,1538,24398.740623999995,47108.62,3.560185185185185,2017-10-14,465883009000,4,11.564256000000002,27.960000000000008,465883009,465883,14,7,14,287,41,3,1,2.8910640000000005,6.990000000000002,58.64,745,51,2,97,31
2,1538,24398.740623999995,47108.62,3.560185185185185,2017-10-14,316242006000,2,61.9845,79.97999999999999,316242006,316242,14,7,14,287,41,3,1,30.99225,39.989999999999995,22.499999999999996,661,51,3,155,61
2,1538,24398.740623999995,47108.62,3.560185185185185,2017-10-14,509485001000,22,254.4127299999999,439.7799999999998,509485001,509485,14,7,14,287,41,3,1,11.564214999999995,19.98999999999999,42.15,107,51,3,107,45
2,1538,24398.740623999995,47108.62,3.560185185185185,2017-10-14,464848002000,137,655.737348,4108.630000000001,464848002,464848,14,7,14,287,41,3,1,4.786404,29.99000000000001,84.04,130,51,3,96,45
2,1538,24398.740623999995,47108.62,3.560185185185185,2017-10-14,555097070000,1,3.600576000000001,3.990000000000001,555097070,555097,14,7,14,287,41,3,1,3.600576000000001,3.990000000000001,9.760000000000002,148,51,5,18,16
